IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.124.151.234,80,80,false,SIN,Asia Pacific,Singapore,2,0.00
34.124.151.234,80,80,false,SIN,Asia Pacific,Singapore,3,0.00
35.244.133.3,80,80,false,SIN,Asia Pacific,Singapore,4,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,Singapore,7,0.00
34.36.183.121,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
34.49.70.151,80,80,false,SIN,Asia Pacific,Singapore,32,0.00
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,40,0.00
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,44,0.00
35.221.183.130,8080,80,false,TPE,Asia Pacific,Taipei,46,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,48,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,62,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,77,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,80,0.00
34.82.82.83,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,443,443,true,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,157,0.00
34.82.82.83,80,80,false,SEA,North America,Seattle,158,0.00
34.82.82.83,80,80,false,SEA,North America,Seattle,159,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,161,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,161,0.00
