IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.49.70.151,80,80,false,SIN,Asia Pacific,Singapore,22,0.00
34.36.183.121,80,80,false,SIN,Asia Pacific,Singapore,23,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,Singapore,24,0.00
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.00
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,40,0.00
34.96.172.212,80,80,false,HKG,Asia Pacific,Hong Kong,53,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,62,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,62,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,63,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,63,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,63,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,64,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,65,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,65,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
35.247.124.181,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,443,443,true,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.127.87.123,443,80,false,SEA,North America,Seattle,157,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,157,0.00
34.127.87.123,80,80,false,SEA,North America,Seattle,157,0.00
34.127.87.123,80,80,false,SEA,North America,Seattle,157,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,157,0.00
34.127.87.123,443,80,false,SEA,North America,Seattle,158,0.00
34.127.87.123,443,80,false,SEA,North America,Seattle,158,0.00
34.127.87.123,80,80,false,SEA,North America,Seattle,158,0.00
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,159,0.00
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,160,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,161,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,161,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,162,0.00
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,163,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,163,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,163,0.00
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,163,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,164,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,165,0.00
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,165,0.00
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,165,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,166,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,166,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,167,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,168,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,169,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,170,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,170,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,172,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,173,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,174,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,175,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,176,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,177,0.00
34.175.99.73,2096,80,false,MAD,Europe,Madrid,179,0.00
34.175.7.231,2053,80,false,MAD,Europe,Madrid,179,0.00
34.175.244.157,2053,80,false,MAD,Europe,Madrid,179,0.00
34.175.161.245,2082,80,false,MAD,Europe,Madrid,179,0.00
34.175.244.157,2083,80,false,MAD,Europe,Madrid,179,0.00
34.175.168.99,2087,80,false,MAD,Europe,Madrid,179,0.00
34.175.161.245,2053,80,false,MAD,Europe,Madrid,179,0.00
34.175.95.58,2096,80,false,MAD,Europe,Madrid,180,0.00
34.175.133.251,2095,80,false,MAD,Europe,Madrid,180,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,180,0.00
34.175.161.245,2083,80,false,MAD,Europe,Madrid,180,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2095,80,false,MAD,Europe,Madrid,181,0.00
34.175.7.231,2082,80,false,MAD,Europe,Madrid,181,0.00
35.187.41.171,2083,80,false,CDG,Europe,Paris,181,0.00
34.175.99.73,2095,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2052,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2096,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2087,80,false,MAD,Europe,Madrid,181,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,181,0.00
34.175.133.251,2053,80,false,MAD,Europe,Madrid,181,0.00
34.175.133.251,2082,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2086,80,false,MAD,Europe,Madrid,181,0.00
34.175.244.157,2082,80,false,MAD,Europe,Madrid,182,0.00
34.175.161.245,2086,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,182,0.00
34.175.161.245,2087,80,false,MAD,Europe,Madrid,182,0.00
34.175.99.73,2052,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2053,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,182,0.00
34.175.161.245,2096,80,false,MAD,Europe,Madrid,183,0.00
34.175.161.245,2095,80,false,MAD,Europe,Madrid,183,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,183,0.00
34.175.161.245,2052,80,false,MAD,Europe,Madrid,183,0.00
